DATAFLOW,LAST UPDATE,freq,unit,nace_r2,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:ORG_CPREACT(1.0),02/12/22 23:00:00,A,EUR,C106_PRS,MT,2018,0,
ESTAT:ORG_CPREACT(1.0),02/12/22 23:00:00,A,EUR,C107,BG,2018,424815,
ESTAT:ORG_CPREACT(1.0),02/12/22 23:00:00,A,EUR,C107,BG,2019,1460694,
ESTAT:ORG_CPREACT(1.0),02/12/22 23:00:00,A,EUR,C107,MT,2014,0,
ESTAT:ORG_CPREACT(1.0),02/12/22 23:00:00,A,EUR,C107,MT,2017,0,
ESTAT:ORG_CPREACT(1.0),02/12/22 23:00:00,A,EUR,C107,MT,2018,0,
ESTAT:ORG_CPREACT(1.0),02/12/22 23:00:00,A,EUR,C108,BG,2018,5062358,
ESTAT:ORG_CPREACT(1.0),02/12/22 23:00:00,A,EUR,C108,BG,2019,6177886,
ESTAT:ORG_CPREACT(1.0),02/12/22 23:00:00,A,EUR,C108,MT,2014,0,
ESTAT:ORG_CPREACT(1.0),02/12/22 23:00:00,A,EUR,C108,MT,2017,0,
ESTAT:ORG_CPREACT(1.0),02/12/22 23:00:00,A,EUR,C108,MT,2018,0,
ESTAT:ORG_CPREACT(1.0),02/12/22 23:00:00,A,EUR,C108_PRC,BG,2018,4548624,
ESTAT:ORG_CPREACT(1.0),02/12/22 23:00:00,A,EUR,C108_PRC,BG,2019,6177886,
ESTAT:ORG_CPREACT(1.0),02/12/22 23:00:00,A,EUR,C108_PRC,MT,2017,0,
ESTAT:ORG_CPREACT(1.0),02/12/22 23:00:00,A,EUR,C108_PRC,MT,2018,0,
ESTAT:ORG_CPREACT(1.0),02/12/22 23:00:00,A,EUR,C108_PRS,BG,2018,513734,
ESTAT:ORG_CPREACT(1.0),02/12/22 23:00:00,A,EUR,C108_PRS,MT,2017,0,
ESTAT:ORG_CPREACT(1.0),02/12/22 23:00:00,A,EUR,C108_PRS,MT,2018,0,
ESTAT:ORG_CPREACT(1.0),02/12/22 23:00:00,A,EUR,C109,BG,2018,307712,
ESTAT:ORG_CPREACT(1.0),02/12/22 23:00:00,A,EUR,C109,BG,2019,303767,
