DATAFLOW,LAST UPDATE,freq,animals,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:ORG_LSTSPEC(1.0),02/12/22 23:00:00,A,A1100,HD,IT,2014,12970,
ESTAT:ORG_LSTSPEC(1.0),02/12/22 23:00:00,A,A1100,HD,IT,2015,14349,
ESTAT:ORG_LSTSPEC(1.0),02/12/22 23:00:00,A,A1100,HD,LT,2012,443,
ESTAT:ORG_LSTSPEC(1.0),02/12/22 23:00:00,A,A1100,HD,LT,2013,496,
ESTAT:ORG_LSTSPEC(1.0),02/12/22 23:00:00,A,A1100,HD,LT,2014,545,
ESTAT:ORG_LSTSPEC(1.0),02/12/22 23:00:00,A,A1100,HD,LT,2015,351,
ESTAT:ORG_LSTSPEC(1.0),02/12/22 23:00:00,A,A1100,HD,LT,2016,67,
ESTAT:ORG_LSTSPEC(1.0),02/12/22 23:00:00,A,A1100,HD,LT,2017,422,
ESTAT:ORG_LSTSPEC(1.0),02/12/22 23:00:00,A,A1100,HD,LT,2018,412,
ESTAT:ORG_LSTSPEC(1.0),02/12/22 23:00:00,A,A1100,HD,LT,2019,432,
ESTAT:ORG_LSTSPEC(1.0),02/12/22 23:00:00,A,A1100,HD,LT,2020,414,
ESTAT:ORG_LSTSPEC(1.0),02/12/22 23:00:00,A,A1100,HD,LU,2012,162,
ESTAT:ORG_LSTSPEC(1.0),02/12/22 23:00:00,A,A1100,HD,LU,2013,177,
ESTAT:ORG_LSTSPEC(1.0),02/12/22 23:00:00,A,A1100,HD,LU,2014,122,
ESTAT:ORG_LSTSPEC(1.0),02/12/22 23:00:00,A,A1100,HD,LU,2015,115,
ESTAT:ORG_LSTSPEC(1.0),02/12/22 23:00:00,A,A1100,HD,LU,2016,124,
ESTAT:ORG_LSTSPEC(1.0),02/12/22 23:00:00,A,A1100,HD,LU,2017,133,
ESTAT:ORG_LSTSPEC(1.0),02/12/22 23:00:00,A,A1100,HD,LU,2018,163,
ESTAT:ORG_LSTSPEC(1.0),02/12/22 23:00:00,A,A1100,HD,LU,2019,174,
ESTAT:ORG_LSTSPEC(1.0),02/12/22 23:00:00,A,A1100,HD,LU,2020,159,
ESTAT:ORG_LSTSPEC(1.0),02/12/22 23:00:00,A,A1100,HD,LV,2012,934,
ESTAT:ORG_LSTSPEC(1.0),02/12/22 23:00:00,A,A1100,HD,LV,2013,882,
ESTAT:ORG_LSTSPEC(1.0),02/12/22 23:00:00,A,A1100,HD,LV,2014,1111,
ESTAT:ORG_LSTSPEC(1.0),02/12/22 23:00:00,A,A1100,HD,LV,2015,1015,
ESTAT:ORG_LSTSPEC(1.0),02/12/22 23:00:00,A,A1100,HD,LV,2016,1263,
ESTAT:ORG_LSTSPEC(1.0),02/12/22 23:00:00,A,A1100,HD,LV,2017,1259,
ESTAT:ORG_LSTSPEC(1.0),02/12/22 23:00:00,A,A1100,HD,LV,2018,1142,
ESTAT:ORG_LSTSPEC(1.0),02/12/22 23:00:00,A,A1100,HD,LV,2019,1173,
ESTAT:ORG_LSTSPEC(1.0),02/12/22 23:00:00,A,A1100,HD,MK,2013,0,
ESTAT:ORG_LSTSPEC(1.0),02/12/22 23:00:00,A,A1100,HD,MK,2014,0,
ESTAT:ORG_LSTSPEC(1.0),02/12/22 23:00:00,A,A1100,HD,MT,2014,0,
ESTAT:ORG_LSTSPEC(1.0),02/12/22 23:00:00,A,A1100,HD,MT,2015,0,
ESTAT:ORG_LSTSPEC(1.0),02/12/22 23:00:00,A,A1100,HD,MT,2016,0,
ESTAT:ORG_LSTSPEC(1.0),02/12/22 23:00:00,A,A1100,HD,MT,2017,0,
ESTAT:ORG_LSTSPEC(1.0),02/12/22 23:00:00,A,A1100,HD,MT,2018,0,
ESTAT:ORG_LSTSPEC(1.0),02/12/22 23:00:00,A,A1100,HD,NO,2012,57,
ESTAT:ORG_LSTSPEC(1.0),02/12/22 23:00:00,A,A1100,HD,NO,2013,49,
ESTAT:ORG_LSTSPEC(1.0),02/12/22 23:00:00,A,A1100,HD,NO,2014,47,
ESTAT:ORG_LSTSPEC(1.0),02/12/22 23:00:00,A,A1100,HD,NO,2015,41,
ESTAT:ORG_LSTSPEC(1.0),02/12/22 23:00:00,A,A1100,HD,NO,2016,41,
ESTAT:ORG_LSTSPEC(1.0),02/12/22 23:00:00,A,A1100,HD,NO,2017,38,
ESTAT:ORG_LSTSPEC(1.0),02/12/22 23:00:00,A,A1100,HD,NO,2018,35,
ESTAT:ORG_LSTSPEC(1.0),02/12/22 23:00:00,A,A1100,HD,NO,2019,37,
ESTAT:ORG_LSTSPEC(1.0),02/12/22 23:00:00,A,A1100,HD,NO,2020,29,
ESTAT:ORG_LSTSPEC(1.0),02/12/22 23:00:00,A,A1100,HD,PL,2013,1380,
ESTAT:ORG_LSTSPEC(1.0),02/12/22 23:00:00,A,A1100,HD,PL,2014,841,
ESTAT:ORG_LSTSPEC(1.0),02/12/22 23:00:00,A,A1100,HD,PL,2015,632,
ESTAT:ORG_LSTSPEC(1.0),02/12/22 23:00:00,A,A1100,HD,PL,2016,578,
ESTAT:ORG_LSTSPEC(1.0),02/12/22 23:00:00,A,A1100,HD,PL,2017,604,
ESTAT:ORG_LSTSPEC(1.0),02/12/22 23:00:00,A,A1100,HD,PL,2018,474,
ESTAT:ORG_LSTSPEC(1.0),02/12/22 23:00:00,A,A1100,HD,PL,2019,1957,
ESTAT:ORG_LSTSPEC(1.0),02/12/22 23:00:00,A,A1100,HD,PT,2013,176,
ESTAT:ORG_LSTSPEC(1.0),02/12/22 23:00:00,A,A1100,HD,PT,2014,162,
ESTAT:ORG_LSTSPEC(1.0),02/12/22 23:00:00,A,A1100,HD,PT,2015,204,
ESTAT:ORG_LSTSPEC(1.0),02/12/22 23:00:00,A,A1100,HD,PT,2017,157,
ESTAT:ORG_LSTSPEC(1.0),02/12/22 23:00:00,A,A1100,HD,PT,2018,87,
ESTAT:ORG_LSTSPEC(1.0),02/12/22 23:00:00,A,A1100,HD,PT,2019,128,
ESTAT:ORG_LSTSPEC(1.0),02/12/22 23:00:00,A,A1100,HD,PT,2020,76,
ESTAT:ORG_LSTSPEC(1.0),02/12/22 23:00:00,A,A1100,HD,RO,2012,142,
ESTAT:ORG_LSTSPEC(1.0),02/12/22 23:00:00,A,A1100,HD,RO,2013,200,
ESTAT:ORG_LSTSPEC(1.0),02/12/22 23:00:00,A,A1100,HD,RO,2014,626,
